claim_id,拟写论断,论证功能,项目报告,报告锚点,审计状态,当前等级,写作状态,定稿前行动
C4-01,制造联盟是艺术工业国家政策与出口竞争的组织联盟,制度起点,0060,3.3%;15.9%,SOURCE_VERIFIED_WITH_WARNINGS,C,VERIFY,回查原版并核1914年科隆会议页码
C4-02,制造联盟内部的标准化与个性表达冲突否定单一路线叙事,反例,0060,15.9%;35.8%,SOURCE_VERIFIED_WITH_WARNINGS,C,VERIFY,补充会议记录与双方文本
C4-03,AEG以建筑产品字体和宣传形成跨媒介协同,核心机制,0056,18.2%;42.1%;70.6%,SOURCE_VERIFIED,B,READY,核原版页码并区分贝伦斯与团队贡献
C4-04,企业工人住宅兼具福利与劳动力治理作用,权力分析,0056,36.3%,SOURCE_VERIFIED,B,VERIFY,补企业档案与劳动史研究
C4-05,1919年共同体理想以艺术家工匠共同训练为公开目标,制度理想,0448;0428,11.6%;67.1%,SOURCE_VERIFIED,B,READY,回查宣言与格罗皮乌斯原文
C4-06,伊滕基础课程以明暗材料色彩节奏和身体经验组织训练,教学机制,0210,24.6%;64.8%;78.4%,SOURCE_VERIFIED_WITH_WARNINGS,C,VERIFY,核原版页码与课程时间
C4-07,基础课程不仅教学也影响工坊并承担筛选功能,制度机制,0276;0438,4.7%;12.0%,MIXED,B,VERIFY,补课程表与招生制度
C4-08,阿尔伯斯与莫霍利纳吉对基础训练作出不同技术化改写,比较论点,0438,41.7%;文本37.5%附近,SOURCE_VERIFIED,B,VERIFY,分别核教师文本
C4-09,1923年应理解为社会乌托邦与技术生产关系的重组,分期论点,0448,43.2%;50.1%,SOURCE_VERIFIED,B,READY,加入财政与展览资料
C4-10,部分工坊受外部委托市场和材料类型限制,反例,0438,55.5%;63.2%,SOURCE_VERIFIED,B,READY,核工坊订单和产量
C4-11,德绍的建筑出版摄影与课程共同制造学校形象,传播机制,0438;0276,原始章节与对象索引,MIXED,C,VERIFY,补校刊图录与摄影研究
C4-12,工坊分流具有性别化后果,权力分析,0276,gender索引33次,SOURCE_VERIFIED_WITH_WARNINGS,C,GAP,补女性与包豪斯专题研究
C4-13,学生围绕设计许可收入提出权利要求,劳动与作者,0276,68.7%,SOURCE_VERIFIED_WITH_WARNINGS,C,VERIFY,回查事件主体时间与制度文件
C4-14,迈耶将需求分析集体生产和社会功能推至课程中心,竞争性现代主义,0448;0276,50%-75%区段,MIXED,C,VERIFY,补迈耶原始文本和项目档案
C4-15,迈耶离任不能只归因于外部政治压力也涉及校内教师冲突,反简化,0448,73.7%,SOURCE_VERIFIED,B,READY,与第二项研究交叉验证
C4-16,日本基础教育对包豪斯进行了选择性制度改革,区域转译,0475,14.1%,SOURCE_VERIFIED,B,VERIFY,核日本课程和人物一手材料
C4-17,中国对包豪斯的接触经建筑教育工艺美术译介等多路径发生,中国线,0475;0500,18.8%-38.4%;66.9%,MIXED,C,VERIFY,拆分直接接触间接传播与后设归类
